job,years,education,salary,company,scale,job_url
大数据开发工程师,1-3年,本科,10500,纬创软件(北京)有限公司,100-499人,http://jobs.zhaopin.com/CC120817715J00045477411.htm
java开发（大数据方向）,3-5年,本科,0,中软国际科技服务有限公司,10000人以上,http://jobs.zhaopin.com/508620126265348.htm
资深运维工程师,不限,不限,20000,上海米么金融信息服务有限公司,500-999人,http://jobs.zhaopin.com/668372926251138.htm
测试经理,5-10年,本科,25000,上海连尚网络科技有限公司,100-499人,http://jobs.zhaopin.com/CC602883425J00102085707.htm
DevOPS技术经理,5-10年,本科,40000,招商银行股份有限公司,10000人以上,http://jobs.zhaopin.com/000103360256678.htm
系统管理员,3-5年,本科,25000,招商银行股份有限公司,10000人以上,http://jobs.zhaopin.com/000103360254141.htm
高级爬虫工程师,3-5年,大专,20000,上海门迪智能科技有限公司,20-99人,http://jobs.zhaopin.com/422870787250003.htm
机器学习算法工程师,1-3年,本科,25000,上海好居信息科技有限公司,500-999人,http://jobs.zhaopin.com/685897627250670.htm
linux运维开发工程师,不限,不限,12500,华青融天(北京)技术股份有限公司,100-499人,http://jobs.zhaopin.com/170279519250537.htm
Java开发工程师,3-5年,本科,0,中软国际科技服务有限公司,10000人以上,http://jobs.zhaopin.com/508620126264553.htm
虚拟化产品软件系统高级工程师,5-10年,本科,0,中兴通讯股份有限公司,10000人以上,http://jobs.zhaopin.com/120146702315163.htm
中高级自动化测试工程师,3-5年,本科,9500,深圳市博奥特科技有限公司,100-499人,http://jobs.zhaopin.com/CC658445388J00103337803.htm
数据分析师技术顾问,1-3年,本科,12500,上海仁教信息技术有限公司,100-499人,http://jobs.zhaopin.com/521160184252304.htm
大数据开发,1-3年,本科,12000,深圳市网新新思软件有限公司,500-999人,http://jobs.zhaopin.com/469912010250480.htm
高级开发工程师（第三方数据平台）,3-5年,本科,17000,北京神州新桥科技有限公司,500-999人,http://jobs.zhaopin.com/120101090252996.htm
量化CTA投资经理/策略师,3-5年,本科,40000,沣沅弘(北京)控股集团有限公司,1000-9999人,http://jobs.zhaopin.com/CC623237622J00042945413.htm
系统化策略投资经理/策略师,3-5年,本科,25000,沣沅弘(北京)控股集团有限公司,1000-9999人,http://jobs.zhaopin.com/CC623237622J00042599013.htm
Linux运维工程师,3-5年,本科,12500,北京神州新桥科技有限公司,500-999人,http://jobs.zhaopin.com/120101090253058.htm
数据分析师、数据工程师,3-5年,本科,42500,中国太平洋人寿保险股份有限公司,10000人以上,http://jobs.zhaopin.com/226851110251372.htm
数据库系统工程师,3-5年,本科,25000,中国太平洋人寿保险股份有限公司,10000人以上,http://jobs.zhaopin.com/226851110251377.htm
