job,website,company,salary
python爬虫工程师可兼职,http://company.zhaopin.com/CC245373488.htm,北京找我翻译有限公司,6001-8000
python开发工程师,http://company.zhaopin.com/CC399735321.htm,上海擎云物联网股份有限公司,6000-8000
python开发工程师,http://company.zhaopin.com/%E4%B8%8A%E6%B5%B7%E4%B8%9C%E6%96%B9%E4%BD%8E%E7%A2%B3%E7%A7%91%E6%8A%80%E4%BA%A7%E4%B8%9A%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC397198513.htm,上海东方低碳科技产业股份有限公司,8001-10000
Python 数据开发工程师,http://company.zhaopin.com/P10/CC0005/7149/CC000571497.htm,恒润科技,10001-15000
python爬虫工程师可兼职,http://company.zhaopin.com/CC245373488.htm,北京找我翻译有限公司,6001-8000
Python高级软件工程师,http://company.zhaopin.com/CC497681031.htm,上海芒宇信息科技有限公司,8000-15000
Python高级开发工程师,http://company.zhaopin.com/CC203630516.htm,上海易路软件有限公司,15000-20000
python 算法工程师,http://company.zhaopin.com/P2/CC3798/1441/CC379814418.htm,上海思贤信息技术股份有限公司,10000-20000
高级Python开发工程师,http://company.zhaopin.com/CZ470078810.htm,魔方元科技,13000-23000
高级Python+PHP开发工程师,http://company.zhaopin.com/CZ470078810.htm,魔方元科技,15000-25000
python数据挖掘工程师,http://company.zhaopin.com/P8/CC1325/1977/CC132519770.htm,上海国泰广告有限公司,10000-18000
python工程师,http://company.zhaopin.com/P4/CC1356/6833/CC135668338.htm,上海义永商务咨询有限公司,15001-20000
Python开发工程师,http://company.zhaopin.com/CC325179238.htm,上海腾滔科技有限公司,9000-11000
Python研发工程师（工作地点 上海）,http://company.zhaopin.com/%E4%B8%8A%E6%B5%B7%E8%A7%86%E4%BA%91%E7%BD%91%E7%BB%9C%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC464071318.htm,上海视云网络科技有限公司,15001-20000
Python开发工程师,http://special.zhaopin.com/2017/shz/11022/szsz072855,中控智慧科技股份有限公司,6000-8000
Python开发工程师,http://company.zhaopin.com/CC669694520.htm,亨得昂信息科技(上海)有限公司,15000-30000
Python开发工程师,http://company.zhaopin.com/CC538792981.htm,上海博为峰软件技术股份有限公司长沙分公司,10001-15000
后端开发工程师/php/python/java/developer,http://company.zhaopin.com/CZ656870880.htm,上海优稿头网络科技有限公司,15001-20000
Python开发工程师,http://company.zhaopin.com/P7/CC1204/0666/CC120406665.htm,上海携宁计算机科技股份有限公司,8001-10000
python高级工程师,http://company.zhaopin.com/CZ370404080.htm,上海层峰网络科技有限公司,15000-25000
